id,tagName,dateCreated,dateOccurred,description,status,submitted by (username),submitted by (first name),submitted by (last name),created in group,clientId,section,region,accuracy(m),latitude,longitude,Extralimital,Animal,Animal Age,Animal Sex,Count,Behaviour,Identifier,Spotted From,Condition,Notes
2545852,Animal Sighting,2022-07-14 16:32:33,2022-07-13 13:18:00,Deena and baby,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.1910721,30.8679879,,Black Rhino,Adult,Female,2,Moving,TA staff,,Good,
2543237,Animal Sighting,2022-07-12 23:19:55,2022-07-12 16:00:00,Raza,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.1937636,30.8562271,,Black Rhino,Adult,Female,1,Feeding,Landower,,Good,
2543238,Animal Sighting,2022-07-12 23:21:28,2022-07-12 11:46:00,Raza,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.1929807,30.8613769,,Black Rhino,Adult,Female,1,Drinking,TA staff,,Good,
2541578,Animal Sighting,2022-07-11 16:57:58,2022-07-11 11:55:00,Still to id,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Mopani,South African Districts,,-24.2269418,30.8875465,,Black Rhino,Adult,Male,2,Wallowing,Lodge,,Good,
2540451,Animal Sighting,2022-07-10 21:28:37,2022-07-10 20:52:53,Oscar one saw a black rhino heading south of sauge tree at muhlapfi river,Logged,oscar1,Oscar,1,Black Mambas,41377,Olifants West,Balule,1.5,-24.199476,30.889057,,Black Rhino,Adult,Female,,,,,,
2545851,Animal Sighting,2022-07-14 16:31:05,2022-07-09 20:14:00,Thumela,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.2134524,30.901022,,Black Rhino,Adult,Male,1,Feeding,Landowner,,Good,
2539306,Animal Sighting,2022-07-09 17:58:04,2022-07-09 09:17:00,1mal 1female 1 sub adult,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.2142548,30.9054852,,White Rhino,Adult,Male,3,Feeding,TA staff,,Good,
2533389,Animal Sighting,2022-07-04 17:44:21,2022-07-03 17:53:00,Tumela,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.2011824,30.8966687,,Black Rhino,Adult,Female,1,Drinking,Landowner,,Good,
2526926,Animal Sighting,2022-06-28 17:36:06,2022-06-28 10:20:00,Wild dogs napping,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.18778,30.888593,,Wild Dog,Adult,Female,2,Resting,Manager,Vehicle,Average,
2526922,Animal Sighting,2022-06-28 17:31:43,2022-06-28 07:39:24,Unknown white rhinos,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.215046,30.899321,,White Rhino,Adult,Indeterminable,2,Drinking,Lodge,Vehicle,Good,
2524679,Animal Sighting,2022-06-26 17:57:35,2022-06-26 18:00:02,Kwezi,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.210887,30.893968,,Black Rhino,Adult,Male,1,Feeding,Lodge,Vehicle,Good,
2524698,Animal Sighting,2022-06-26 17:59:44,2022-06-26 17:19:00,Ground hornbill,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.194217,30.878667,,Southern Ground-Hornbill,Adult,Indeterminable,1,Moving,Lodge,Vehicle,Average,
2524678,Animal Sighting,2022-06-26 17:55:53,2022-06-26 16:00:00,Unidentified,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.210157,30.893559,,Black Rhino,Adult,Indeterminable,1,Moving,Lodge,Vehicle,Good,
2524677,Animal Sighting,2022-06-26 17:52:18,2022-06-26 07:47:00,Potentially Duchess and Duke,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.199951,30.868509,,Black Rhino,Adult,Female,2,Moving,Lodge,Vehicle,Good,
2524673,Animal Sighting,2022-06-26 17:48:58,2022-06-25 17:15:00,Duchess and unknown,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.223715,30.884832,,Black Rhino,Adult,,2,Moving,Landowner,Vehicle,Good,
2514931,Animal Sighting,2022-06-22 16:11:31,2022-06-22 13:00:00,Zulu,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.2034977,30.8969021,,Black Rhino,Adult,Male,1,Moving,Landowner,,Good,
2516641,Animal Sighting,2022-06-23 13:09:42,2022-06-21 23:24:00,Raza,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.1919276,30.8692954,,Black Rhino,Sub-Adult,Female,1,Drinking,Camera trap,,Good,
2516654,Animal Sighting,2022-06-23 13:15:57,2022-06-21 22:44:00,Black and calf,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.1837196,30.9464854,,Black Rhino,Adult,Female,2,Drinking,Camera trap,,Good,
2516661,Animal Sighting,2022-06-23 13:17:22,2022-06-21 20:04:00,Aphela,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.20565,30.95497,,Black Rhino,Adult,Male,1,Drinking,Camera trap,,Good,
2516653,Animal Sighting,2022-06-23 13:15:05,2022-06-21 17:59:00,White and calf,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.1837221,30.9464934,,White Rhino,Adult,Female,2,Drinking,Camera trap,,Good,
2516650,Animal Sighting,2022-06-23 13:13:38,2022-06-21 08:14:00,Thumela,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.1837127,30.9464827,,Black Rhino,Adult,Male,1,Drinking,Camera trap,,Good,
2516640,Animal Sighting,2022-06-23 13:08:51,2022-06-21 03:07:00,Deena and calf,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.1919264,30.8692928,,Black Rhino,Adult,Female,2,Drinking,Camera trap,,Good,
2516639,Animal Sighting,2022-06-23 13:08:08,2022-06-20 18:03:00,Deena and calf,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.1919313,30.8692914,,Black Rhino,Adult,Male,2,Drinking,Camera trap,,Good,
2511399,Animal Sighting,2022-06-20 16:23:40,2022-06-20 08:00:00,Stompie and Balu,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.20093,30.89716,,White Rhino,Adult,Male,2,Feeding,Lodge,,Excellent,
2516673,Animal Sighting,2022-06-23 13:22:19,2022-06-19 18:04:00,Thumela blackx2,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.2277008,30.970172,,Black Rhino,Adult,Male,3,Drinking,Camera trap,,Good,
2516648,Animal Sighting,2022-06-23 13:12:52,2022-06-19 13:29:00,White and calf,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.1837151,30.9464814,,White Rhino,Adult,Female,2,Feeding,Camera trap,,,
2516669,Animal Sighting,2022-06-23 13:21:19,2022-06-16 20:29:00,White bull,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.2276861,30.9701747,,White Rhino,Adult,Male,1,Moving,Camera trap,,Good,
2516668,Animal Sighting,2022-06-23 13:20:27,2022-06-16 20:27:00,White and calf,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.2276763,30.9701693,,White Rhino,Adult,Female,2,Drinking,Camera trap,,Good,
2516636,Animal Sighting,2022-06-23 13:07:00,2022-06-15 23:57:00,Duchess and Duke,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.1919227,30.8692928,,Black Rhino,Adult,Female,2,Drinking,Camera trap,,Good,
2516664,Animal Sighting,2022-06-23 13:18:35,2022-06-15 23:25:00,Black,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.22769,30.97016,,Black Rhino,Adult,Indeterminable,1,Drinking,Camera trap,,Good,
2516666,Animal Sighting,2022-06-23 13:19:33,2022-06-15 23:24:00,White and calf,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.2276886,30.9701666,,White Rhino,Adult,Female,2,Drinking,Camera trap,,Good,
2516646,Animal Sighting,2022-06-23 13:11:59,2022-06-15 21:17:00,Black,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.1837164,30.9464841,,Black Rhino,Adult,Indeterminable,1,Feeding,Camera trap,,Good,
2504499,Animal Sighting,2022-06-16 17:38:52,2022-06-15 19:30:00,Stompie and Balu,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.218374,30.9007237,,White Rhino,Adult,Male,2,Drinking,Landowner,,Good,
2504495,Animal Sighting,2022-06-16 17:35:20,2022-06-14 20:15:00,Stompie and Balu,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.20093,30.89716,,White Rhino,Adult,Male,2,Drinking,Landowner,,,
2516644,Animal Sighting,2022-06-23 13:11:04,2022-06-14 18:56:00,Black and calf,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.18372,30.94649,,Black Rhino,Adult,Female,2,Drinking,Camera trap,,Good,
2516634,Animal Sighting,2022-06-23 13:06:06,2022-06-13 21:13:00,Duchess and Duke,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.19192,30.86929,,Black Rhino,Adult,Female,2,Drinking,Camera trap,,Good,
2500405,Animal Sighting,2022-06-13 17:38:58,2022-06-13 17:11:00,Duchess and Duke,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.223715,30.884832,,Black Rhino,Adult,Female,2,Feeding,Landowner,,Good,
2500402,Animal Sighting,2022-06-13 17:35:54,2022-06-13 07:14:00,Duchess and Duke,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.2189319,30.8839417,,Black Rhino,Adult,Female,2,Feeding,Lodge,,Good,
2516616,Animal Sighting,2022-06-23 12:45:14,2022-06-11 07:08:00,Zulu,Logged,Izel,Izel,Pieterse,Black Mambas,43213,Olifants West,Balule,,-24.19192,30.86929,,Black Rhino,Adult,Male,1,Drinking,Camera trap,,Excellent,
